y,lag1,lag2,lag3,lag4,lag5,volprev,date
0,-0.0903,-0.0084,0.0085,-0.0086,0.0087,194843.538728458,2017-10-11 00:00:00
1,-0.0625,-0.0903,-0.0084,0.0085,-0.0086,82217.4732277756,2017-10-10 00:00:00
0,0.005,-0.0625,-0.0903,-0.0084,0.0085,111314.037239771,2017-10-09 00:00:00
0,-0.036,0.005,-0.0625,-0.0903,-0.0084,126287.721269043,2017-10-08 00:00:00
0,-0.0322,-0.036,0.005,-0.0625,-0.0903,76166.497066004,2017-10-07 00:00:00
1,-0.0315,-0.0322,-0.036,0.005,-0.0625,42277.6398702255,2017-10-06 00:00:00
0,0.0012,-0.0315,-0.0322,-0.036,0.005,67784.10713005,2017-10-05 00:00:00
0,-0.0229,0.0012,-0.0315,-0.0322,-0.036,73344.2788881891,2017-10-04 00:00:00
1,-0.0006,-0.0229,0.0012,-0.0315,-0.0322,72166.7887898802,2017-10-03 00:00:00
1,0.014,-0.0006,-0.0229,0.0012,-0.0315,90213.9469810794,2017-10-02 00:00:00
0,0.0218,0.014,-0.0006,-0.0229,0.0012,80772.0566206063,2017-10-01 00:00:00
0,-0.0218,0.0218,0.014,-0.0006,-0.0229,64565.9221268499,2017-09-30 00:00:00
0,-0.0071,-0.0218,0.0218,0.014,-0.0006,72583.3390472524,2017-09-29 00:00:00
1,-0.0302,-0.0071,-0.0218,0.0218,0.014,101018.416991894,2017-09-28 00:00:00
0,0.0082,-0.0302,-0.0071,-0.0218,0.0218,106001.174472356,2017-09-27 00:00:00
0,-0.0363,0.0082,-0.0302,-0.0071,-0.0218,134385.30349352,2017-09-26 00:00:00
0,-0.0288,-0.0363,0.0082,-0.0302,-0.0071,75266.0070532945,2017-09-25 00:00:00
0,-0.0242,-0.0288,-0.0363,0.0082,-0.0302,112769.980411983,2017-09-24 00:00:00
1,-0.0323,-0.0242,-0.0288,-0.0363,0.0082,53332.8805781316,2017-09-23 00:00:00
0,0.0062,-0.0323,-0.0242,-0.0288,-0.0363,75321.8258986831,2017-09-22 00:00:00
1,-0.0263,0.0062,-0.0323,-0.0242,-0.0288,127358.879804928,2017-09-21 00:00:00
1,0.0457,-0.0263,0.0062,-0.0323,-0.0242,156289.5,2017-09-20 00:00:00
1,0.0406,0.0457,-0.0263,0.0062,-0.0323,93975.16,2017-09-19 00:00:00
0,0.0074,0.0406,0.0457,-0.0263,0.0062,135821.92,2017-09-18 00:00:00
0,-0.0036,0.0074,0.0406,0.0457,-0.0263,111133.41,2017-09-17 00:00:00
1,-0.0742,-0.0036,0.0074,0.0406,0.0457,68020.83,2017-09-16 00:00:00
0,0.0207,-0.0742,-0.0036,0.0074,0.0406,114402.49,2017-09-15 00:00:00
1,-0.0835,0.0207,-0.0742,-0.0036,0.0074,343495.34,2017-09-14 00:00:00
1,0.0605,-0.0835,0.0207,-0.0742,-0.0036,243554.57,2017-09-13 00:00:00
1,0.0835,0.0605,-0.0835,0.0207,-0.0742,164894.91,2017-09-12 00:00:00
0,0.0857,0.0835,0.0605,-0.0835,0.0207,85292.71,2017-09-11 00:00:00
0,-0.0098,0.0857,0.0835,0.0605,-0.0835,68059.57,2017-09-10 00:00:00
1,-0.0037,-0.0098,0.0857,0.0835,0.0605,71768.4,2017-09-09 00:00:00
1,0.0245,-0.0037,-0.0098,0.0857,0.0835,57504.92,2017-09-08 00:00:00
1,0.041,0.0245,-0.0037,-0.0098,0.0857,138700.38,2017-09-07 00:00:00
0,0.0226,0.041,0.0245,-0.0037,-0.0098,57109.75,2017-09-06 00:00:00
0,-0.008,0.0226,0.041,0.0245,-0.0037,89479.14,2017-09-05 00:00:00
1,-0.0555,-0.008,0.0226,0.041,0.0245,120835.74,2017-09-04 00:00:00
1,0.0206,-0.0555,-0.008,0.0226,0.041,152969.71,2017-09-03 00:00:00
1,0.0454,0.0206,-0.0555,-0.008,0.0226,76921.13,2017-09-02 00:00:00
1,0.0185,0.0454,0.0206,-0.0555,-0.008,118579.37,2017-09-01 00:00:00
0,0.0297,0.0185,0.0454,0.0206,-0.0555,84307.56,2017-08-31 00:00:00
0,-0.0292,0.0297,0.0185,0.0454,0.0206,63238.55097879,2017-08-30 00:00:00
0,-0.022,-0.0292,0.0297,0.0185,0.0454,59726.41593238,2017-08-29 00:00:00
0,-0.025,-0.022,-0.0292,0.0297,0.0185,79028.2052221,2017-08-28 00:00:00
1,-0.0343,-0.025,-0.022,-0.0292,0.0297,63470.55259118,2017-08-27 00:00:00
0,0.0074,-0.0343,-0.025,-0.022,-0.0292,31307.41317401,2017-08-26 00:00:00
1,-0.0054,0.0074,-0.0343,-0.025,-0.022,32011.69089019,2017-08-25 00:00:00
0,0.0102,-0.0054,0.0074,-0.0343,-0.025,50268.51738028,2017-08-24 00:00:00
0,-0.038,0.0102,-0.0054,0.0074,-0.0343,61640.66337746,2017-08-23 00:00:00
0,-0.0109,-0.038,0.0102,-0.0054,0.0074,78879.29049502,2017-08-22 00:00:00
1,-0.0534,-0.0109,-0.038,0.0102,-0.0054,131603.00343777,2017-08-21 00:00:00
1,0.0256,-0.0534,-0.0109,-0.038,0.0102,78324.64483228,2017-08-20 00:00:00
0,0.0171,0.0256,-0.0534,-0.0109,-0.038,50768.08138184,2017-08-19 00:00:00
1,-0.0035,0.0171,0.0256,-0.0534,-0.0109,79809.89541849,2017-08-18 00:00:00
1,0.0353,-0.0035,0.0171,0.0256,-0.0534,113880.48779378,2017-08-17 00:00:00
0,0.0286,0.0353,-0.0035,0.0171,0.0256,100116.56070306,2017-08-16 00:00:00
1,-0.0406,0.0286,0.0353,-0.0035,0.0171,78813.15097338,2017-08-15 00:00:00
1,0.0012,-0.0406,0.0286,0.0353,-0.0035,143229.11,2017-08-14 00:00:00
0,0,0.0012,-0.0406,0.0286,0.0353,91598.65,2017-08-13 00:00:00
0,-0.0353,0,0.0012,-0.0406,0.0286,98417.1,2017-08-12 00:00:00
0,-0.0624,-0.0353,0,0.0012,-0.0406,82758.19,2017-08-11 00:00:00
0,-0.069,-0.0624,-0.0353,0,0.0012,73886.62,2017-08-10 00:00:00
0,-0.0338,-0.069,-0.0624,-0.0353,0,52205.24,2017-08-09 00:00:00
1,-0.0141,-0.0338,-0.069,-0.0624,-0.0353,71779.02,2017-08-08 00:00:00
0,0.0197,-0.0141,-0.0338,-0.069,-0.0624,82076.26,2017-08-07 00:00:00
0,-0.0352,0.0197,-0.0141,-0.0338,-0.069,62330.22,2017-08-06 00:00:00
0,-0.0239,-0.0352,0.0197,-0.0141,-0.0338,41632.03,2017-08-05 00:00:00
0,-0.0259,-0.0239,-0.0352,0.0197,-0.0141,108020.54,2017-08-04 00:00:00
0,-0.098,-0.0259,-0.0239,-0.0352,0.0197,47520.64,2017-08-03 00:00:00
0,-0.0261,-0.098,-0.0259,-0.0239,-0.0352,50913.8,2017-08-02 00:00:00
1,-0.0128,-0.0261,-0.098,-0.0259,-0.0239,53443.25,2017-08-01 00:00:00
0,0.0266,-0.0128,-0.0261,-0.098,-0.0259,77398.98,2017-07-31 00:00:00
0,-0.0032,0.0266,-0.0128,-0.0261,-0.098,62579.51,2017-07-30 00:00:00
1,-0.0293,-0.0032,0.0266,-0.0128,-0.0261,38420.78,2017-07-29 00:00:00
1,0.009,-0.0293,-0.0032,0.0266,-0.0128,44945.76,2017-07-28 00:00:00
0,0.0056,0.009,-0.0293,-0.0032,0.0266,77862.76,2017-07-27 00:00:00
0,-0.0616,0.0056,0.009,-0.0293,-0.0032,58931.29,2017-07-26 00:00:00
1,-0.0267,-0.0616,0.0056,0.009,-0.0293,78862.94,2017-07-25 00:00:00
1,0.0476,-0.0267,-0.0616,0.0056,0.009,113282.35,2017-07-24 00:00:00
1,0.0489,0.0476,-0.0267,-0.0616,0.0056,55470.97,2017-07-23 00:00:00
1,0.0054,0.0489,0.0476,-0.0267,-0.0616,58887.94,2017-07-22 00:00:00
0,0.0012,0.0054,0.0489,0.0476,-0.0267,65183.02,2017-07-21 00:00:00
0,-0.0211,0.0012,0.0054,0.0489,0.0476,124732.83,2017-07-20 00:00:00
0,-0.0846,-0.0211,0.0012,0.0054,0.0489,189375.8,2017-07-19 00:00:00
0,-0.0686,-0.0846,-0.0211,0.0012,0.0054,104163.31,2017-07-18 00:00:00
0,-0.0164,-0.0686,-0.0846,-0.0211,0.0012,146647.87,2017-07-17 00:00:00
0,-0.0975,-0.0164,-0.0686,-0.0846,-0.0211,119263.28,2017-07-16 00:00:00
1,-0.0584,-0.0975,-0.0164,-0.0686,-0.0846,132007.63,2017-07-15 00:00:00
1,0.0736,-0.0584,-0.0975,-0.0164,-0.0686,111683.87,2017-07-14 00:00:00
1,0.0975,0.0736,-0.0584,-0.0975,-0.0164,86162.09,2017-07-13 00:00:00
0,0.0392,0.0975,0.0736,-0.0584,-0.0975,58400.04,2017-07-12 00:00:00
0,-0.0103,0.0392,0.0975,0.0736,-0.0584,78723.75,2017-07-11 00:00:00
1,-0.0007,-0.0103,0.0392,0.0975,0.0736,100677.67,2017-07-10 00:00:00
1,0.0481,-0.0007,-0.0103,0.0392,0.0975,98737.45,2017-07-09 00:00:00
0,0.0357,0.0481,-0.0007,-0.0103,0.0392,28509.38,2017-07-08 00:00:00
1,-0.0103,0.0357,0.0481,-0.0007,-0.0103,38629.42,2017-07-07 00:00:00
1,0.0122,-0.0103,0.0357,0.0481,-0.0007,60518.9,2017-07-06 00:00:00
0,0.0196,0.0122,-0.0103,0.0357,0.0481,40351.05,2017-07-05 00:00:00
1,-0.0087,0.0196,0.0122,-0.0103,0.0357,48459.58,2017-07-04 00:00:00
0,0.008,-0.0087,0.0196,0.0122,-0.0103,59115.27,2017-07-03 00:00:00
0,-0.0287,0.008,-0.0087,0.0196,0.0122,61478.83,2017-07-02 00:00:00
1,-0.0307,-0.0287,0.008,-0.0087,0.0196,48812.13,2017-07-01 00:00:00
1,0.0056,-0.0307,-0.0287,0.008,-0.0087,48024.54,2017-06-30 00:00:00
1,0.0249,0.0056,-0.0307,-0.0287,0.008,57036.04,2017-06-29 00:00:00
0,0.0146,0.0249,0.0056,-0.0307,-0.0287,43822.58,2017-06-28 00:00:00
0,-0.0103,0.0146,0.0249,0.0056,-0.0307,80598.05,2017-06-27 00:00:00
1,-0.0526,-0.0103,0.0146,0.0249,0.0056,118234.45,2017-06-26 00:00:00
1,0.0237,-0.0526,-0.0103,0.0146,0.0249,125558.09,2017-06-25 00:00:00
1,0.0454,0.0237,-0.0526,-0.0103,0.0146,61868,2017-06-24 00:00:00
1,0.0367,0.0454,0.0237,-0.0526,-0.0103,61349.25,2017-06-23 00:00:00
0,0.0178,0.0367,0.0454,0.0237,-0.0526,43862.62,2017-06-22 00:00:00
1,-0.0119,0.0178,0.0367,0.0454,0.0237,63862.54,2017-06-21 00:00:00
0,0.0097,-0.0119,0.0178,0.0367,0.0454,90073.17,2017-06-20 00:00:00
0,-0.0192,0.0097,-0.0119,0.0178,0.0367,91691.45,2017-06-19 00:00:00
1,-0.0367,-0.0192,0.0097,-0.0119,0.0178,70501.47,2017-06-18 00:00:00
0,0.0065,-0.0367,-0.0192,0.0097,-0.0119,62891.7,2017-06-17 00:00:00
0,-0.0033,0.0065,-0.0367,-0.0192,0.0097,68375.42,2017-06-16 00:00:00
0,-0.0379,-0.0033,0.0065,-0.0367,-0.0192,92993.86,2017-06-15 00:00:00
